1842
  21  30    438427.000    20.000
  22  29    444152.500     1.300
  23  28    445840.813     1.300
  24  27    444305.813     1.300
  25  26    440315.594     1.300
  26  25    431514.000    15.000
  20  32    436600.000   500.000
  21  31    443660.000   230.000
  22  30    451961.000     7.000
  23  29    453152.094     1.300
  24  28    456345.094     1.400
  25  27    450851.094     2.400
  26  26    447697.000    10.000
  22  31    457390.000   100.000
  23  30    461631.000     3.000
  24  29    464284.313     1.400
  25  28    462904.906     1.400
  26  27    458380.188     2.100
  27  26    449296.000    18.000
  21  33    453900.000   500.000
  22  32    464400.000   230.000
  23  31    467744.000    15.000
  24  30    474003.313     1.400
  25  29    471843.906     1.700
  26  28    471758.688     1.300
  27  27    462733.188     1.300
  28  26    453150.000    50.000
  22  33    468520.000   240.000
  23  32    475080.000   100.000
  24  31    480249.594     1.400
  25  30    482070.313     1.300
  26  29    481056.594     1.300
  27  28    476822.906     1.400
  28  27    467347.000    11.000
  22  34    473900.000   300.000
  23  33    480240.000   240.000
  24  32    488506.000    10.000
  25  31    489340.813     1.400
  26  30    492253.906     1.400
  27  29    486905.500     2.400
  28  28    483988.000    11.000
  23  34    486450.000   250.000
  24  33    493680.000    90.000
  25  32    497991.000     3.000
  26  31    499899.906     1.400
  27  30    498281.500     1.400
  28  29    494235.000     3.000
  29  28    484682.000    16.000
  23  35    490500.000   300.000
  24  34    501290.000   240.000
  25  33    504480.000    30.000
  26  32    509944.406     1.400
  27  31    506854.594     1.700
  28  30    506453.813     1.400
  29  29    497108.000     3.000
  30  28    486960.000    50.000
  23  36    496100.000   300.000
  24  35    505280.000   250.000
  25  34    512120.000    30.000
  26  33    516525.313     1.400
  27  32    517308.094     1.400
  28  31    515453.313     1.400
  29  30    509871.313     1.700
  30  29    499990.000    40.000
  23  37    499400.000   600.000
  24  36    512300.000   300.000
  25  35    517600.000   300.000
  26  34    525345.000     4.000
  27  33    524800.125     1.400
  28  32    526841.625     1.400
  29  31    519932.000     3.000
  30  30    514992.000    11.000
  24  37    516300.000   300.000
  25  36    524500.000   300.000
  26  35    530927.000    20.000
  27  34    534122.188     1.600
  28  33    534661.625     1.400
  29  32    531642.000     1.800
  30  31    525223.000    16.000
  24  38    522800.000   400.000
  25  37    529300.000   300.000
  26  36    538979.000    15.000
  27  35    540727.000    20.000
  28  34    545258.813     1.400
  29  33    540528.000     4.000
  30  32    538119.000    10.000
  31  31    528170.000    30.000
  25  38    535700.000   300.000
  26  37    543930.000   190.000
  27  36    549207.000    20.000
  28  35    552096.688     1.400
  29  34    551381.313     1.400
  30  33    547232.000     2.100
  31  32    540930.000   100.000
  25  39    540100.000   300.000
  26  38    551300.000   300.000
  27  37    555230.000    20.000
  28  36    561754.688     1.400
  29  35    559297.188     1.400
  30  34    559093.625     1.700
  31  33    551146.000     4.000
  32  32    545950.000   250.000
  25  40    546000.000   600.000
  26  39    555600.000   300.000
  27  38    562677.000    13.000
  28  37    567852.688     1.500
  29  36    569207.375     1.700
  30  35    567073.125     1.700
  31  34    563035.875     1.800
  32  33    556010.000   100.000
  26  40    562700.000   300.000
  27  39    567600.000   300.000
  28  38    576830.000    16.000
  29  37    576273.375     1.700
  30  36    578133.000     1.500
  31  35    572176.000     3.000
  32  34    569290.000    30.000
  26  41    567000.000   500.000
  27  40    575000.000   300.000
  28  39    582615.000    19.000
  29  38    585391.000     8.000
  30  37    585185.188     1.600
  31  36    583402.375     1.800
  32  35    578397.000     5.000
  33  34    571600.000   100.000
  27  41    579600.000   300.000
  28  40    590430.000    17.000
  29  39    591700.000    50.000
  30  38    595383.375     1.600
  31  37    591679.875     2.000
